#MCPC Serial Number:9
#firmware=5.20
#mfgdate=16/6/2
#smpslop=285 
#smpoffs=411 
#satslop=292 
#satoffs=405 
#cal_tmp=22.9 
#coincid=3350 
#cs_diff=25.0
#prsslop=317 
#prsoffs=135 
#anlgcal=128
#
#YY/MM/DD	HR:MN:SC	aveconc	concent	rawconc	cnt_sec	condtmp	satttmp	satbtmp	optctmp	inlttmp	smpflow	satflow	pressur	condpwr	sattpwr	satbpwr	optcpwr	satfpwr	fillcnt	err_num
18/06/21	14:06:44	13466.20	12602.00	12145.00	74113	27.0	52.1	52.1	37.3	33.9	366	369	971	250	27	25	0	40	0	0
18/06/21	14:06:45	13086.00	12554.00	12102.00	73847	27.0	52.1	52.1	37.4	33.9	366	368	971	250	27	25	0	40	0	0
18/06/21	14:06:46	12771.00	12489.00	12041.00	73503	27.0	52.1	52.1	37.3	33.9	366	368	971	250	27	25	0	40	0	0
18/06/21	14:06:47	12589.90	12386.00	11946.00	72981	27.0	52.1	52.1	37.3	33.9	366	368	971	250	27	25	0	40	0	0
18/06/21	14:06:48	12468.80	12369.00	11930.00	72870	27.0	52.1	52.1	37.3	33.9	366	368	971	250	27	25	0	40	0	0
18/06/21	14:06:49	12422.90	12376.00	11936.00	72957	27.0	52.1	52.1	37.4	33.9	366	368	971	250	27	25	0	40	0	0
18/06/21	14:06:50	12369.50	12198.00	11771.00	71900	26.9	52.1	52.1	37.4	33.9	366	368	971	250	0	0	0	40	0	0
18/06/21	14:06:51	12327.80	12131.00	11708.00	71527	26.9	52.1	52.1	37.3	33.9	366	368	971	250	0	0	0	40	0	0
18/06/21	14:06:52	12256.10	12027.00	11611.00	70960	27.0	52.0	52.1	37.3	33.9	366	369	971	250	54	25	0	40	0	0
18/06/21	14:06:53	12205.30	12220.00	11792.00	72017	27.0	52.0	52.1	37.3	33.9	366	368	971	250	54	25	0	40	0	0
18/06/21	14:06:54	12175.60	12228.00	11799.00	72151	26.9	52.0	52.1	37.3	33.9	366	368	971	250	27	0	0	40	0	0
18/06/21	14:06:55	12162.10	12211.00	11783.00	72011	26.9	52.0	52.1	37.3	33.9	366	368	971	250	27	0	0	40	0	0
18/06/21	14:06:56	12175.20	12249.00	11818.00	72273	27.0	52.0	52.1	37.3	33.9	366	368	971	250	54	25	0	40	0	0
18/06/21	14:06:57	12201.20	12169.00	11743.00	71778	26.9	52.0	52.1	37.3	34.0	366	368	971	250	27	0	0	40	0	0
18/06/21	14:06:58	12201.80	12084.00	11664.00	71238	26.9	52.1	52.1	37.3	34.0	366	368	971	250	0	0	0	40	0	0
18/06/21	14:06:59	12169.30	12039.00	11623.00	71011	26.9	52.1	52.1	37.3	34.0	366	368	971	250	0	0	0	40	0	0
18/06/21	14:07:00	12119.70	11904.00	11497.00	70179	26.9	52.0	52.1	37.3	34.0	366	368	971	250	27	0	0	40	0	0
18/06/21	14:07:01	12049.00	11849.00	11446.00	69948	26.9	52.0	52.1	37.3	34.0	366	368	971	250	27	0	0	40	0	0
18/06/21	14:07:02	11969.30	11772.00	11373.00	69456	26.9	52.0	52.1	37.3	34.0	366	368	971	250	27	0	0	40	0	0
18/06/21	14:07:03	11909.30	11881.00	11474.00	70123	26.9	52.0	52.1	37.3	34.0	366	367	971	250	27	0	0	40	0	0
18/06/21	14:07:04	11862.30	11772.00	11373.00	69480	26.9	52.0	52.1	37.3	34.0	366	368	971	250	27	0	0	40	0	0
18/06/21	14:07:05	11820.40	11752.00	11354.00	69364	26.9	52.0	52.1	37.3	34.0	366	367	971	250	27	0	0	40	0	0
18/06/21	14:07:06	11795.30	11750.00	11351.00	69372	26.9	52.0	52.0	37.3	34.0	366	368	971	250	27	25	0	40	0	0
18/06/21	14:07:07	11789.70	11815.00	11413.00	69735	26.9	52.0	52.0	37.3	34.0	366	368	971	250	27	25	0	40	0	0
18/06/21	14:07:08	11793.70	11878.00	11472.00	70144	26.9	52.0	52.0	37.3	34.0	366	368	971	250	27	25	0	40	0	0
18/06/21	14:07:09	11815.80	11996.00	11582.00	70782	26.9	52.0	52.0	37.3	34.0	366	367	971	250	27	25	0	40	0	0
18/06/21	14:07:10	11862.20	11992.00	11578.00	70793	26.9	52.0	52.0	37.2	34.0	366	367	971	250	27	25	0	40	0	0
18/06/21	14:07:11	11912.40	12012.00	11597.00	70863	26.9	52.0	52.0	37.3	34.0	366	367	971	250	27	25	0	40	0	0
18/06/21	14:07:12	11949.80	11927.00	11517.00	70513	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:13	11960.10	11869.00	11463.00	70134	26.9	52.0	52.0	37.3	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:14	11937.00	11774.00	11376.00	69624	26.9	52.0	52.0	37.3	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:15	11886.20	11706.00	11311.00	69172	26.9	52.0	52.0	37.3	34.0	366	368	971	250	27	25	0	40	0	0
18/06/21	14:07:16	11814.60	11582.00	11195.00	68418	26.9	52.0	52.0	37.3	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:17	11743.50	11646.00	11256.00	68890	26.9	52.0	52.0	37.2	34.0	366	367	971	250	27	25	0	40	0	0
18/06/21	14:07:18	11689.10	11606.00	11219.00	68596	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:20	11643.90	11585.00	11199.00	68541	26.9	52.0	52.0	37.3	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:21	11613.00	11586.00	11199.00	68509	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:22	11617.10	11743.00	11346.00	69406	26.9	52.0	52.0	37.2	34.0	366	368	971	250	27	25	0	40	0	0
18/06/21	14:07:23	11625.20	11566.00	11180.00	68367	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:24	11638.10	11815.00	11413.00	69829	26.9	52.0	52.0	37.2	34.0	367	367	970	250	27	25	0	40	0	0
18/06/21	14:07:25	11865.40	13649.00	13116.00	80275	26.9	52.0	52.0	37.2	34.0	367	368	971	250	27	25	0	40	0	0
18/06/21	14:07:26	12510.60	15974.00	15248.00	93277	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:27	13339.10	15640.00	14943.00	91514	26.9	51.9	52.0	37.2	34.0	367	367	971	250	54	25	0	40	0	0
18/06/21	14:07:28	14009.10	14369.00	13780.00	84350	26.9	51.9	52.0	37.2	34.0	367	367	971	250	54	25	0	40	0	0
18/06/21	14:07:29	14424.60	13167.00	12670.00	77542	26.9	52.0	52.0	37.2	34.0	367	367	970	250	27	25	0	40	0	0
18/06/21	14:07:30	14434.80	12399.00	11957.00	73130	26.9	52.0	52.0	37.2	34.0	367	367	970	250	27	25	0	40	0	0
18/06/21	14:07:31	13893.60	11812.00	11411.00	69837	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:32	13071.40	11580.00	11194.00	68509	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:33	12388.10	11596.00	11210.00	68629	26.8	52.0	52.0	37.2	34.0	367	367	971	250	0	0	0	40	0	0
18/06/21	14:07:34	11951.60	11575.00	11189.00	68491	26.8	52.0	52.0	37.2	34.0	367	368	970	250	0	0	0	40	0	0
18/06/21	14:07:35	11714.40	11619.00	11230.00	68740	26.8	52.0	52.0	37.2	34.0	367	367	970	250	0	0	0	40	0	0
18/06/21	14:07:36	11612.50	11573.00	11187.00	68513	26.9	51.9	52.0	37.2	34.0	367	367	970	250	54	25	0	40	0	0
18/06/21	14:07:37	11587.10	11565.00	11180.00	68434	26.9	51.9	52.0	37.2	34.0	367	367	970	250	54	25	0	40	0	0
18/06/21	14:07:38	11584.10	11581.00	11195.00	68552	26.9	51.9	52.0	37.2	34.0	367	367	971	250	54	25	0	40	0	0
18/06/21	14:07:39	11584.10	11590.00	11204.00	68581	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:40	11578.00	11543.00	11161.00	68317	26.9	52.0	52.0	37.2	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:41	11557.60	11445.00	11068.00	67782	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:42	11555.20	11669.00	11278.00	69001	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:43	11565.90	11584.00	11198.00	68582	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:44	11569.70	11625.00	11236.00	68802	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:45	11578.10	11592.00	11206.00	68640	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:46	11594.90	11564.00	11180.00	68322	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:47	11594.00	11541.00	11158.00	68292	26.9	52.0	52.0	37.2	34.1	367	367	971	250	27	25	0	40	0	0
18/06/21	14:07:48	11573.10	11503.00	11122.00	68092	26.8	51.9	52.0	37.1	34.1	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:49	11559.50	11570.00	11185.00	68499	26.8	51.9	52.0	37.2	34.1	367	368	971	250	27	0	0	40	0	0
18/06/21	14:07:50	11548.60	11538.00	11155.00	68113	26.8	51.9	52.0	37.1	34.1	366	369	971	250	27	0	0	40	0	0
18/06/21	14:07:51	11542.00	11552.00	11169.00	68278	26.8	51.9	52.0	37.1	34.1	367	368	971	250	27	0	0	40	0	0
18/06/21	14:07:52	11546.60	11599.00	11212.00	68597	26.8	51.9	52.0	37.1	34.1	367	368	971	250	27	0	0	40	0	0
18/06/21	14:07:53	11557.40	11553.00	11169.00	68388	26.8	51.9	52.0	37.1	34.1	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:54	11565.80	11604.00	11215.00	68697	26.8	51.9	52.0	37.1	34.1	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:55	11571.80	11564.00	11179.00	68474	26.8	51.9	52.0	37.1	34.0	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:56	11589.50	11703.00	11309.00	69318	26.8	51.9	52.0	37.1	34.0	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:57	11587.20	11564.00	11179.00	68427	26.8	51.9	52.0	37.1	34.0	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:58	11593.60	11608.00	11220.00	68725	26.8	51.9	52.0	37.1	34.0	367	367	971	250	27	0	0	40	0	0
18/06/21	14:07:59	11588.30	11552.00	11168.00	68405	26.8	51.9	52.0	37.1	34.0	367	367	971	250	27	0	0	40	0	0
18/06/21	14:08:00	11626.90	11777.00	11379.00	69674	26.8	51.9	51.9	37.1	34.0	367	367	971	250	27	25	0	40	0	0
18/06/21	14:08:01	11751.20	12255.00	11823.00	72408	26.8	51.9	51.9	37.1	33.9	367	368	971	250	27	25	0	40	0	0
18/06/21	14:08:02	11934.80	12482.00	12036.00	73687	26.8	51.9	51.9	37.1	33.9	367	368	971	250	27	25	0	40	0	0
18/06/21	14:08:03	12119.60	12532.00	12081.00	73989	26.8	51.9	51.9	37.1	33.9	367	367	971	250	27	25	0	40	0	0
18/06/21	14:08:04	12259.60	12252.00	11820.00	72415	26.8	51.9	51.9	37.1	33.9	367	367	971	250	27	25	0	40	0	0
18/06/21	14:08:05	12477.00	12864.00	12389.00	75887	26.8	51.9	51.9	37.0	33.9	367	368	971	250	27	25	0	40	0	0
