#MCPC Serial Number:9
#firmware=5.20
#mfgdate=16/6/2
#smpslop=285 
#smpoffs=411 
#satslop=292 
#satoffs=405 
#cal_tmp=22.9 
#coincid=3350 
#cs_diff=25.0
#prsslop=317 
#prsoffs=135 
#anlgcal=128
#
#YY/MM/DD	HR:MN:SC	aveconc	concent	rawconc	cnt_sec	condtmp	satttmp	satbtmp	optctmp	inlttmp	smpflow	satflow	pressur	condpwr	sattpwr	satbpwr	optcpwr	satfpwr	fillcnt	err_num
18/05/02	14:24:44	7407.00	7405.00	7245.00	43989	19.7	44.7	44.9	30.0	18.8	364	361	970	233	54	0	0	48	0	0
18/05/02	14:24:45	7415.60	7374.00	7216.00	43810	19.7	44.7	44.9	29.9	18.8	364	361	970	232	54	0	0	48	0	0
18/05/02	14:24:46	7415.60	7394.00	7234.00	43908	19.7	44.7	44.8	29.9	18.8	364	361	970	231	54	25	0	48	0	0
18/05/02	14:24:47	7424.80	7512.00	7347.00	44615	19.7	44.7	44.8	29.9	18.8	364	361	970	230	54	25	0	48	0	0
18/05/02	14:24:48	7445.20	7541.00	7376.00	44783	19.7	44.7	44.8	29.8	18.7	364	361	970	229	54	25	25	48	0	0
18/05/02	14:24:49	7480.60	7582.00	7415.00	45027	19.8	44.7	44.8	29.8	18.7	364	361	970	230	127	51	51	48	0	0
18/05/02	14:24:50	7523.20	7587.00	7419.00	45067	19.8	44.7	44.8	29.8	18.8	363	361	970	230	127	51	51	48	0	0
18/05/02	14:24:51	7574.80	7652.00	7482.00	45381	19.8	44.8	44.8	29.8	18.8	363	361	970	230	55	51	51	48	0	0
18/05/02	14:24:52	7591.20	7594.00	7426.00	45043	19.8	44.9	44.8	29.8	18.8	364	361	970	230	27	51	51	48	0	0
18/05/02	14:24:53	7591.20	7541.00	7376.00	44784	19.8	44.9	44.8	29.8	18.8	364	361	970	230	27	51	51	48	0	0
18/05/02	14:24:54	7563.60	7444.00	7283.00	44206	19.8	44.9	44.8	29.7	18.8	363	362	970	230	27	51	125	48	0	0
18/05/02	14:24:55	7534.00	7439.00	7279.00	44156	19.8	44.8	44.8	29.7	18.8	364	361	970	230	55	51	125	48	0	0
18/05/02	14:24:56	7475.80	7361.00	7203.00	43706	19.9	44.8	44.8	29.7	18.8	364	361	970	230	127	125	200	48	0	0
