data set, time, x, y, pollution
1, 10:26:59, 780.00838, 331.805661, 10079.60
1, 10:26:59, 779.56360, 333.251195, 10079.60
1, 10:27:00, 779.56360, 333.251195, 10039.80
1, 10:27:00, 779.23002, 334.696729, 10039.80
1, 10:27:01, 779.23002, 334.696729, 10020.40
1, 10:27:01, 779.00763, 336.142263, 10020.40
1, 10:27:02, 779.00763, 336.142263, 9974.80
1, 10:27:02, 778.78524, 337.810187, 9974.80
1, 10:27:03, 778.78524, 337.810187, 9985.00
1, 10:27:03, 778.67404, 339.700500, 9985.00
1, 10:27:04, 778.67404, 339.700500, 9964.60
1, 10:27:04, 778.67404, 341.368424, 9964.60
1, 10:27:05, 778.67404, 341.368424, 9960.40
1, 10:27:05, 778.78524, 342.813958, 9960.40
1, 10:27:06, 778.78524, 342.813958, 9974.20
1, 10:27:06, 778.78524, 344.037103, 9974.20
1, 10:27:07, 778.78524, 344.037103, 9968.80
1, 10:27:07, 778.78524, 344.926662, 9968.80
1, 10:27:08, 778.78524, 344.926662, 9966.00
1, 10:27:08, 778.78524, 345.705026, 9966.00
1, 10:27:09, 778.78524, 345.705026, 9980.40
1, 10:27:09, 778.78524, 346.483391, 9980.40
1, 10:27:10, 778.78524, 346.483391, 9984.20
1, 10:27:10, 778.78524, 347.150560, 9984.20
1, 10:27:11, 778.78524, 347.150560, 9974.40
1, 10:27:11, 778.67404, 348.151315, 9974.40
1, 10:27:12, 778.67404, 348.151315, 9977.80
1, 10:27:12, 778.67404, 349.819239, 9977.80
1, 10:27:13, 778.67404, 349.819239, 9952.00
1, 10:27:13, 778.56285, 352.265527, 9952.00
1, 10:27:14, 778.56285, 352.265527, 9922.20
1, 10:27:14, 778.56285, 5.26779062, 9922.20
1, 10:27:15, 778.56285, 5.26779062, 9916.60
1, 10:27:15, 778.56285, 358.937223, 9916.60
1, 10:27:16, 778.56285, 358.937223, 9895.80
1, 10:27:16, 778.56285, 363.051435, 9895.80
1, 10:27:17, 778.56285, 363.051435, 9877.20
1, 10:27:17, 778.56285, 367.610427, 9877.20
1, 10:27:18, 778.56285, 367.610427, 9858.80
1, 10:27:18, 778.56285, 372.503004, 9858.80
1, 10:27:19, 778.56285, 372.503004, 9867.80
1, 10:27:19, 778.56285, 377.729165, 9867.80
1, 10:27:20, 778.56285, 377.729165, 9861.80
